"subj_idx","response","rt","dist","dist_newold"
105,1,1.13767030400004,2,"old2"
105,0,1.14384129099994,1,"new1"
105,1,1.06442798099988,2,"old2"
105,1,0.854868699999997,1,"new1"
105,0,1.13500284200018,2,"old2"
105,1,1.1203531189999,3,"new3"
105,0,2.81111518199987,1,"new1"
105,0,2.99420199700012,0,"new0"
105,0,0.722439599000154,3,"new3"
105,0,1.77755246400011,0,"new0"
105,1,3.31655261100013,3,"new3"
105,0,1.85026609700026,1,"new1"
105,1,0.657680741999684,1,"new1"
105,0,1.10432119999996,1,"new1"
105,0,0.853162550000434,2,"new2"
105,1,0.780955928999902,2,"new2"
105,1,1.17229081999994,2,"old2"
105,0,1.51643062999983,3,"new3"
105,0,0.921718830999907,1,"new1"
105,1,0.70164736300012,2,"old2"
105,1,1.39020159900019,2,"new2"
105,0,1.36083701500002,2,"old2"
105,0,0.739124052999614,2,"new2"
105,0,0.958066820000113,1,"new1"
105,0,0.762494455000251,0,"new0"
105,0,1.01683768799967,2,"old2"
105,0,2.09638314299991,2,"new2"
105,0,1.76099891100012,2,"old2"
105,1,1.90019596599996,1,"new1"
105,0,2.27107282899988,2,"new2"
105,1,3.22076062399992,2,"new2"
105,1,1.96184463999998,2,"old2"
105,0,2.66999238699964,2,"old2"
105,0,1.95448078699974,3,"new3"
105,1,4.03434791900008,3,"new3"
105,0,4.35971694199998,3,"new3"
105,1,2.79117859899998,0,"new0"
105,1,1.92619228000012,3,"new3"
105,0,2.67995110599986,3,"new3"
106,1,3.39585048200024,2,"old2"
106,1,3.09437078300016,1,"new1"
106,1,2.45022028600033,2,"old2"
106,1,3.35032368600059,2,"old2"
106,1,3.69310545400003,1,"new1"
106,0,3.58605194500069,0,"new0"
106,0,3.60527474799983,3,"new3"
106,1,2.81198357300036,1,"new1"
106,0,NA,2,"new2"
106,0,1.12092852700061,2,"new2"
106,0,2.20185657099955,2,"old2"
106,0,2.04168283499985,2,"old2"
106,0,2.69374887100002,2,"new2"
106,1,1.53875725299986,0,"new0"
106,1,2.63243953799974,2,"old2"
106,0,2.56638806000046,2,"old2"
106,1,0.995578664999812,3,"new3"
106,0,2.13204929899985,1,"new1"
106,0,4.40833384500002,1,"new1"
106,0,0.977219528000205,2,"new2"
106,1,1.35010693099957,2,"old2"
106,0,2.14914633300032,3,"new3"
106,0,1.81059890699999,2,"old2"
106,0,3.13946664200012,1,"new1"
106,0,1.51113291099955,0,"new0"
106,1,1.10693719899973,2,"new2"
106,1,3.92341142999976,3,"new3"
106,0,0.822320741000112,3,"new3"
106,0,2.08681403299943,0,"new0"
106,1,1.54873843899986,2,"old2"
106,1,1.58708125700014,3,"new3"
